Species,Involucre_length,Corolla_length,Adaxial_Lip,Abaxial_Lip,Pistill_length,Capsule_length
Hemiboea_bicornuta,22.5,41,5,7,17.5,23.5
Hemiboea_cavaleriei,17.5,39,8,11,22,20
Hemiboea_fangii,7.5,40.5,9.5,13,20,35
Hemiboea_flaccida,17.5,32,4.5,8,20.5,19
Hemiboea_follicularis,17.5,16.5,4.25,5.75,9,12.5
Hemiboea_gracilis,14,34,6.5,9,22.5,21
Hemiboea_henryi,10,30,3.5,6,18,18.5
Hemiboea_longgangensis,10,30,3.5,6,18,18.5
Hemiboea_longzhouensis,20,40.5,7,11,22,22.5
Hemiboea_magnibracteata,27.5,45,8,10,25,22.5
Hemiboea_malipoensis,40,50,14.5,10.5,36.5,27.5
Hemiboea_omeiensis,20,35,9,11.5,22.5,32.5
Hemiboea_ovalifolia,0,36,2.8,10,25,15
Hemiboea_purpureotincta,12,29,3.2,8,16,
Hemiboea_rubribracteata,28.5,45,8,12.5,24,16
Hemiboea_subcapitata,17.5,38.5,6,7.5,35,20
Hemiboea_wangiana,10,39,6.5,10,26,
Briggsia_longipes,3,42,6,10,30,45
Briggsia_mihieri,2,46,7.5,14,25,52