ID,Beak_Size,Survive
669,10.81,1
128,8.74,0
481,10.04,0
364,9.75,0
365,9.76,0
335,9.55,0
124,8.7,0
351,9.62,0
234,9.22,0
114,8.79,0
350,9.61,0
168,9.02,0
36,7.85,0
167,9.01,0
61,8.26,0
60,8.25,0
237,9.25,0
287,9.45,0
90,8.52,0
96,8.61,0
52,8.12,0
34,7.81,0
27,7.49,0
24,7.3,0
37,7.87,0
26,7.45,0
32,7.69,0
44,8.04,0
29,7.57,0
28,7.53,0
45,8.05,0
40,7.93,0
22,7.24,0
30,7.61,0
195,9.1,0
31,7.65,0
42,7.97,0
41,7.95,0
47,8.07,0
25,7.41,0
39,7.91,0
43,7.99,0
164,8.97,0
94,8.56,0
158,8.91,0
98,8.63,0
99,8.64,0
159,8.92,0
154,8.87,0
75,8.48,0
162,8.95,0
166,8.99,0
151,8.84,0
155,8.88,0
9,6.61,0
163,8.96,0
160,8.93,0
161,8.94,0
101,8.66,0
169,9.03,0
8,6.5,0
165,8.98,0
7,6.46,0
23,7.27,0
48,8.08,0
93,8.55,0
80,8.42,0
78,8.51,0
87,8.49,0
91,8.53,0
50,8.1,0
77,8.5,0
84,8.46,0
12,6.67,0
56,8.21,0
92,8.54,0
15,6.73,0
10,6.63,0
79,8.41,0
5,6.25,0
21,7.21,0
82,8.44,0
86,8.48,0
73,8.46,0
58,8.23,0
3,6.01,0
13,6.69,0
133,8.85,0
18,7.09,0
6,6.36,0
14,6.71,0
49,8.09,0
83,8.45,0
20,7.15,0
81,8.43,0
16,7.03,0
11,6.65,0
171,9.05,0
157,8.9,0
131,8.83,0
17,7.06,0
150,8.83,0
136,8.88,0
129,8.81,0
46,8.06,0
54,8.14,0
4,6.1,0
156,8.89,0
106,8.71,0
170,9.04,0
153,8.86,0
621,10.57,0
623,10.59,0
618,10.54,0
620,10.56,0
617,10.53,0
143,8.95,0
145,8.97,0
141,8.93,0
126,8.72,0
627,10.44,0
127,8.73,0
111,8.76,0
121,8.67,0
57,8.22,0
174,9.08,0
135,8.87,0
628,10.45,0
182,9.16,0
376,9.68,0
132,8.84,0
137,8.89,0
116,8.62,0
179,9.13,0
122,8.68,0
177,9.11,0
181,9.15,0
185,9.19,0
184,9.18,0
178,9.12,0
619,10.55,0
176,9.1,0
173,9.07,0
125,8.71,0
138,8.9,0
388,9.62,0
140,8.92,0
142,8.94,0
144,8.96,0
614,10.5,0
183,9.17,0
615,10.51,0
118,8.64,0
55,8.15,0
394,9.68,0
180,9.14,0
103,8.68,0
148,8.81,0
172,9.06,0
188,9.03,0
147,8.99,0
175,9.09,0
149,8.82,0
107,8.72,0
74,8.47,0
191,9.06,0
104,8.69,0
130,8.82,0
134,8.86,0
105,8.7,0
110,8.75,0
102,8.67,0
123,8.69,0
108,8.73,0
190,9.05,0
189,9.04,0
119,8.65,0
146,8.98,0
200,9.15,0
201,9.16,0
62,8.27,0
637,10.65,0
220,9.16,0
113,8.78,0
115,8.61,0
232,9.09,0
218,9.14,0
193,9.08,0
109,8.74,0
186,9.01,0
100,8.65,0
203,9.18,0
117,8.63,0
242,9.3,0
204,9.19,0
217,9.13,0
85,8.47,0
319,9.58,0
88,8.5,0
76,8.49,0
255,9.24,0
250,9.38,0
266,9.35,0
260,9.29,0
268,9.37,0
247,9.35,0
254,9.23,0
238,9.26,0
245,9.33,0
252,9.21,0
251,9.39,0
233,9.21,0
198,9.13,0
205,9.01,0
207,9.03,0
239,9.27,0
219,9.15,0
256,9.25,0
230,9.07,0
248,9.36,0
221,9.17,0
213,9.09,0
340,9.41,0
349,9.5,0
348,9.49,0
341,9.42,0
347,9.48,0
352,9.63,0
384,9.76,0
383,9.75,0
53,8.13,0
211,9.07,0
228,9.05,0
222,9.18,0
224,9.01,0
249,9.37,0
210,9.06,0
212,9.08,0
276,9.26,0
356,9.67,0
229,9.06,0
208,9.04,0
216,9.12,0
381,9.73,0
277,9.27,0
269,9.38,0
270,9.39,0
282,9.32,0
283,9.41,0
263,9.32,0
267,9.36,0
273,9.23,0
280,9.3,0
261,9.3,0
284,9.42,0
271,9.21,0
209,9.05,0
275,9.25,0
286,9.44,0
274,9.24,0
265,9.34,0
288,9.46,0
281,9.31,0
264,9.33,0
272,9.22,0
214,9.1,0
223,9.19,0
354,9.65,0
227,9.04,0
240,9.28,0
353,9.64,0
225,9.02,0
290,9.48,0
236,9.24,0
226,9.03,0
289,9.47,0
244,9.32,0
278,9.28,0
243,9.31,0
279,9.29,0
259,9.28,0
262,9.31,0
292,9.5,0
258,9.27,0
197,9.12,0
302,9.41,0
357,9.68,0
307,9.46,0
89,8.51,0
339,9.59,0
325,9.45,0
333,9.53,0
71,8.44,0
317,9.56,0
328,9.48,0
321,9.41,0
385,9.77,0
314,9.53,0
331,9.51,0
318,9.57,0
316,9.55,0
315,9.54,0
324,9.44,0
332,9.52,0
326,9.46,0
327,9.47,0
330,9.5,0
329,9.49,0
320,9.59,0
65,8.3,0
312,9.51,0
68,8.41,0
63,8.28,0
51,8.11,0
215,9.11,0
64,8.29,0
625,10.42,0
231,9.08,0
206,9.02,0
69,8.42,0
72,8.45,0
194,9.09,0
196,9.11,0
301,9.59,0
300,9.58,0
322,9.42,0
294,9.52,0
70,8.43,0
66,8.31,0
67,8.32,0
323,9.43,0
313,9.52,0
360,9.71,0
372,9.64,0
309,9.48,0
291,9.49,0
368,9.79,0
371,9.63,0
344,9.45,0
635,10.63,0
650,10.78,0
304,9.43,0
377,9.69,0
395,9.69,0
342,9.43,0
378,9.7,0
361,9.72,0
379,9.71,0
359,9.7,0
380,9.72,0
345,9.46,0
343,9.44,0
396,9.7,0
634,10.62,0
297,9.55,0
358,9.69,0
355,9.66,0
346,9.47,0
298,9.56,0
296,9.54,0
367,9.78,0
336,9.56,0
299,9.57,0
334,9.54,0
382,9.74,0
305,9.44,0
306,9.45,0
375,9.67,0
363,9.74,0
310,9.49,0
338,9.58,0
337,9.57,0
374,9.66,0
308,9.47,0
139,8.91,0
616,10.52,0
519,10.04,0
33,7.73,0
472,9.86,0
403,9.77,0
389,9.63,0
390,9.64,0
1,5.82,0
406,9.62,0
399,9.73,0
401,9.75,0
411,9.82,0
413,9.84,0
408,9.64,0
439,9.91,0
494,10.17,0
438,9.9,0
400,9.74,0
442,9.94,0
409,9.65,0
393,9.67,0
404,9.78,0
398,9.72,0
432,9.84,0
405,9.61,0
476,9.9,0
420,9.91,0
427,9.98,0
429,9.81,0
426,9.97,0
421,9.92,0
437,9.89,0
424,9.95,0
412,9.83,0
414,9.85,0
435,9.87,0
651,10.79,0
441,9.93,0
415,9.86,0
417,9.88,0
479,10.02,0
434,9.86,0
402,9.76,0
431,9.83,0
423,9.94,0
533,10.31,0
475,9.89,0
477,9.91,0
430,9.82,0
450,9.83,0
463,9.96,0
461,9.94,0
443,9.95,0
454,9.87,0
465,9.98,0
436,9.88,0
453,9.86,0
464,9.97,0
459,9.92,0
478,10.01,0
458,9.91,0
392,9.66,0
97,8.62,1
587,10.42,1
714,11.32,0
712,11.3,0
456,9.89,0
564,10.24,0
471,9.85,0
446,9.98,0
452,9.85,0
455,9.88,0
468,9.82,0
473,9.87,0
460,9.93,0
532,10.3,0
470,9.84,0
466,9.99,0
510,10.14,0
474,9.88,0
457,9.9,0
507,10.11,0
513,10.17,0
506,10.1,0
445,9.97,0
462,9.95,0
444,9.96,0
467,9.81,0
535,10.33,0
469,9.83,0
511,10.15,0
447,9.99,0
539,10.37,0
428,9.99,0
410,9.81,0
702,11.15,1
482,10.05,0
492,10.15,0
483,10.06,0
517,10.02,0
508,10.12,0
562,10.22,0
516,10.01,0
504,10.08,0
509,10.13,0
560,10.39,0
557,10.36,0
484,10.07,0
491,10.14,0
487,10.1,0
503,10.07,0
496,10.19,0
490,10.13,0
542,10.21,0
529,10.27,0
497,10.01,0
498,10.02,0
558,10.37,0
489,10.12,0
515,10.19,0
520,10.05,0
543,10.22,0
556,10.35,0
554,10.33,0
540,10.38,0
530,10.28,0
522,10.2,0
480,10.03,0
521,10.06,0
500,10.04,0
559,10.38,0
561,10.21,0
551,10.3,0
555,10.34,0
544,10.23,0
486,10.09,0
553,10.32,0
502,10.06,0
501,10.05,0
493,10.16,0
488,10.11,0
589,10.44,0
711,11.29,0
499,10.03,0
451,9.84,0
547,10.26,0
552,10.31,0
545,10.24,0
720,11.49,0
548,10.27,0
518,10.03,0
658,10.67,0
722,11.51,0
660,10.69,0
546,10.25,0
514,10.18,0
505,10.09,0
512,10.16,0
710,11.28,0
449,9.82,0
597,10.52,0
440,9.92,0
724,11.53,0
549,10.28,0
523,10.21,0
550,10.29,0
719,11.37,0
598,10.53,0
718,11.36,0
591,10.46,0
600,10.55,0
609,10.45,0
727,11.56,0
601,10.56,0
726,11.55,0
729,11.58,0
716,11.34,0
731,11.65,0
594,10.49,0
747,12.37,0
567,10.27,0
592,10.47,0
746,12.22,0
743,11.77,0
715,11.33,0
744,11.78,0
745,12.07,0
703,11.16,1
701,11.14,1
622,10.58,0
655,10.64,0
654,10.63,0
583,10.24,0
656,10.65,0
652,10.61,0
636,10.64,0
653,10.62,0
612,10.48,0
657,10.66,0
730,11.64,0
648,10.76,0
448,9.81,0
663,10.72,0
707,11.2,0
685,10.97,0
693,10.91,0
691,10.89,0
679,10.91,0
738,11.72,0
683,10.95,0
580,10.21,0
613,10.49,0
709,11.27,0
681,10.93,0
751,13.88,0
578,10.38,0
749,12.49,0
585,10.4,0
584,10.25,0
569,10.29,0
586,10.41,0
570,10.3,0
577,10.37,0
568,10.28,0
575,10.35,0
605,10.41,0
581,10.22,0
607,10.43,0
647,10.75,0
671,10.83,0
748,12.43,0
582,10.23,0
579,10.39,0
649,10.77,0
689,10.87,0
682,10.94,0
571,10.31,0
661,10.7,0
697,11.1,0
667,10.76,0
662,10.71,0
670,10.82,0
698,11.11,0
664,10.73,0
668,10.77,0
686,10.98,0
95,8.57,1
397,9.71,0
706,11.19,0
632,10.49,0
626,10.43,0
624,10.41,0
631,10.48,0
629,10.46,0
391,9.65,0
633,10.61,0
630,10.47,0
680,10.92,0
675,10.87,0
673,10.85,0
732,11.66,0
572,10.32,0
566,10.26,0
740,11.74,0
688,10.86,0
563,10.23,0
687,10.99,0
741,11.75,0
734,11.68,0
690,10.88,0
705,11.18,0
565,10.25,0
659,10.68,0
704,11.17,0
695,11.08,0
692,10.9,0
678,10.9,0
666,10.75,0
665,10.74,0
700,11.13,0
684,10.96,0
606,10.42,0
576,10.36,0
602,10.57,1
644,10.72,1
610,10.46,1
646,10.74,1
285,9.43,1
59,8.24,1
694,11.07,1
485,10.08,1
257,9.26,1
643,10.71,1
386,9.78,1
641,10.69,1
246,9.34,1
721,11.5,1
676,10.88,1
527,10.25,1
418,9.89,1
739,11.73,0
640,10.68,1
735,11.69,1
534,10.32,1
241,9.29,1
387,9.79,1
495,10.18,1
596,10.51,1
638,10.66,1
295,9.53,1
713,11.31,1
425,9.96,1
187,9.02,1
362,9.73,1
699,11.12,1
19,7.12,1
531,10.29,1
416,9.87,1
736,11.7,1
696,11.09,1
537,10.35,1
611,10.47,1
590,10.45,1
639,10.67,1
642,10.7,1
293,9.51,1
645,10.73,1
366,9.77,1
608,10.44,1
528,10.26,1
603,10.58,0
112,8.77,1
192,9.07,1
593,10.48,1
235,9.23,1
433,9.85,1
2,5.85,1
422,9.93,1
311,9.5,1
199,9.14,1
419,9.9,1
538,10.36,1
370,9.62,1
573,10.33,0
604,10.59,0
574,10.34,0
717,11.35,0
588,10.43,1
253,9.22,1
737,11.71,0
742,11.76,0
536,10.34,1
303,9.42,1
733,11.67,1
202,9.17,1
541,10.39,1
674,10.86,1
723,11.52,1
728,11.57,1
595,10.5,1
35,7.83,1
526,10.24,1
672,10.84,1
677,10.89,1
524,10.22,1
725,11.54,1
750,13.82,0
373,9.65,1
369,9.61,1
152,8.85,1
120,8.66,1
708,11.26,1
525,10.23,1
599,10.54,1
38,7.89,1
407,9.63,0